;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Style_Culinaire;Note;Suggestion;Prestation;Horaires;Longitude;Latitude
0;Le Refuge Des Gourmets;90 rte Framboises;74140;MACHILLY;04 50 43 53 87;www.refugedesgourmets.com;français;5.0;Foie gras : mi-cuit, déclinaison autour de la pomme de Savoie, agastache / Risotto : Carnaroli, crémeux à la truffe noire Melano, fromage d'Abondance / Langoustine : rôtie, déclinaison de carotte du jardin, bisque à la berce des Voirons / Boeuf : et escalope de foie gras poêlé, variation de panais, sauce au vin de noix (+ 10 truffe Melano);animaux acceptés / terrasse / parking / Zone fumeur / facilité bébé / restaurant repas de groupe / accès handicapés / wifi / climatisation / Restaurants  / Restaurants gastronomiques  / Restaurants pour réceptions, pour séminaires  / Restauration à domicile ;['Lundi', 'Mardi', 'Mercredi', '12h00 - 14h00', '19h00 - 21h00', 'Jeudi', '12h00 - 14h00', '19h00 - 21h00', 'Vendredi', '12h00 - 14h00', '19h00 - 21h00', 'Samedi', '12h00 - 14h00', '19h00 - 21h00', 'Dimanche', '12h00 - 14h00'];;
1;Restaurant Le Pré de la Cure;1 pl de la Mairie;74140;YVOIRE;04 50 72 83 58;www.pre-delacure.com;Cuisine française;5.0;;Hammam / Animaux acceptés / Parking / TV/Satellite / Wi-fi / 25 chambres / Restaurant / Piscine couverte / Sauna / Facilités bébés / Ascenseur / Restaurants  / Hôtels ;;;
2;McDonald's Saint Cergues;100 rte Voirons Lieu dit Vouards Sud;74140;SAINT CERGUES;04 50 95 61 68;www.restaurants.mcdonalds.fr;;;;Climatisation / Accès handicapés / Les Desserts / Les Boissons / Facilités bébés / L'Happy anniversaire / L'offre McCafé / McDrive / Les Sandwichs / Vente à emporter / Les Salades / Hamburger / Commande en ligne / Burger / L'offre Happy Meal / Wifi / Les Menus / Fast Food / burger / Restauration rapide  / Restaurants ;['Lundi', '10h00 - 00h00', 'Mardi', '10h00 - 00h00', 'Mercredi', '10h00 - 00h00', 'Jeudi', '10h00 - 00h00\n ', 'Vendredi', '10h00 - 00h00', 'Samedi', '10h00 - 00h00', 'Dimanche', '11h00 - 00h00'];46.225772;6.302902
3;McDonald's Anthy sur Leman;Espace Leman 2 av Pré Robert Sud;74200;ANTHY SUR LÉMAN;04 50 70 32 61;www.restaurants.mcdonalds.fr;fast food;1.0;;Les Sandwichs / Accès handicapés / Climatisation / L'Happy anniversaire / Facilités bébés / McDrive / L'offre McCafé / Fast Food / Les Boissons / Commande en ligne / Hamburger / Les Salades / Vente à emporter / Les Menus / Wifi / Burger / Les Desserts / L'offre Happy Meal / burger / Restauration rapide  / Restaurants ;['Lundi', '10h30 - 00h00', 'Mardi', '10h30 - 00h00', 'Mercredi', '10h30 - 00h00', 'Jeudi', '10h30 - 00h00', 'Vendredi', '10h30 - 00h00\n ', 'Samedi', '10h30 - 00h00', 'Dimanche', '10h30 - 00h00'];46.35171;6.439026
4;Restaurant le Café Roméo;301 bd du Chevran;74300;CLUSES;04 28 23 13 22;www.hotel-4c.fr;;;Filets de perches meunieres;Séminaire / wifi / Restaurant / Hôtel / parking / hôtel pas cher VRP / Pizzeria / Pizzerias  / Hôtels  / Restaurants ;;;
5;La Diligence;66 r Carraz;74420;BOËGE;04 50 39 48 06;www.ladili.com;;;;plat du jour / terrasse / menu à thème / wifi / bar / restaurant végétarien / plat à emporter / cuisine végétarienne / animaux acceptés / soirée à thème / restaurant repas de groupe / accès handicapés / enfant / Restaurants  / Cafés, bars ;['Lundi', '08h00 - 15h00', 'Mardi', '07h30 - 23h00', 'Mercredi', '07h30 - 23h00', 'Jeudi', '08h00 - 23h00', 'Vendredi', '08h00 - 00h00', 'Samedi', '08h00 - 01h00', 'Dimanche', '00h00 - 01h00'];;
6;O Savoyard;1 r Perrière;74000;ANNECY;04 50 45 06 53;www.osavoyard.fr;Restaurant savoyard;5.0;;menu enfant / carte de vins / animaux acceptés / terrasse / facilités bébés / menu « Ô Savoyard » / parking à proximité / repas de groupes / accès pour les personnes à mobilité réduite / carte de desserts;['Lundi', '12h00 - 14h00', '19h00 - 22h30', 'Mardi', '12h00 - 14h00', '19h00 - 22h30', 'Mercredi', '12h00 - 14h00', '19h00 - 22h30', 'Jeudi', '12h00 - 14h00', '19h00 - 22h30', 'Vendredi', '12h00 - 14h00', '19h00 - 23h00', 'Samedi', '12h00 - 14h00', '19h00 - 23h00', 'Dimanche', '12h00 - 14h00', '19h00 - 23h00'];;
7;McDonald's Annecy;Centre Cial Carrefour 134 av Genève;74000;ANNECY;09 67 17 38 50;www.restaurants.mcdonalds.fr;fast food;1.0;;Wifi / Burger / L'offre Happy Meal / Hamburger / Les Salades / L'Happy anniversaire / Vente à emporter / Accès handicapés / Les Sandwichs / Les Desserts / Facilités bébés / Fast Food / L'offre McCafé / McDrive / Climatisation / Les Menus / Commande en ligne / Les Boissons / burger / Restauration rapide  / Restaurants ;['Lundi', '08h30 - 00h00', 'Mardi', '08h30 - 00h00', 'Mercredi', '08h30 - 00h00', 'Jeudi', '08h30 - 00h00', 'Vendredi', '08h30 - 00h00', 'Samedi', '08h30 - 00h00', 'Dimanche', '08h30 - 00h00'];45.924893;6.123964
8;La Grange à Jules;100 rte Daviet;74540;CHAPEIRY;04 83 97 14 09;www.auberge-lagrangeajules.fr;;;;Auberge événementielle et festive. / 2 Salles de 30 et 170 couverts. / Pierres apparentes, cheminée, grand parc ombragé / Mariage, Repas de famille, Autocariste / Séminaire, menu du marché , restauration à la carte / Ouvert du jeudi au dimanche. Les autres jours sur demande. / Restaurants  / Restaurants dansants  / Restaurants pour réceptions, pour séminaires ;['Lundi', '12h00 - 14h00', 'Mardi', '12h00 - 14h00', 'Mercredi', 'Jeudi', '12h00 - 14h00', 'Vendredi', '12h00 - 14h00', 'Samedi', '12h00 - 14h00', '19h00 - 21h00', 'Dimanche', '12h00 - 14h00', '19h00 - 21h00'];45.827154;6.036496
9;Granny Smith;4 r Louis Revon;74000;ANNECY;09 50 14 11 67;http://grannysmith.site-solocal.com;;;Petite / Tarte aux légumes du jour / Soupe du jour / Cookie / Mousse chocolat, Parfait spéculoos, Mouhalabieh...;restauration sans matières grasses / karaoké / bagel / tarterie / végétalien / accès internet / bar à salade / cuisine végétarienne / plat à emporter / restaurant végétarien / coffee-shop / animaux acceptés / restaurant végétalien / anglais parlé / parking / soirée à thème / accès handicapés / brunch / animation musicale / restaurant sans gluten / plat du jour / bar à soupe / menu végétarien / terrasse / organisation d'événement / restaurant vegan / cafétéria / restaurant halal / wifi / restaurant bio / kebab / fait maison / brunch bio / repas d'anniversaire / saladerie / service continu / espace de jeux;['Lundi', '09h00 - 21h30', 'Mardi', '09h00 - 21h30', 'Mercredi', '09h00 - 21h30', 'Jeudi', '09h00 - 21h30', 'Vendredi', '09h00 - 21h30', 'Samedi', '11h00 - 15h00', 'Dimanche'];;
